# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.3390
# k_min, k_max      =     0.0000    2.1178
# E_min, E_max      =   -17.5867  137.1841
# Nbands, Nspin, Nk =    104     1   101
#
#        k            E
# --------------------------------------------------------------------------
      0.559119    -13.497800
      0.580639    -13.496100
      0.602160    -13.491100
      0.623680    -13.482800
      0.645201    -13.471700
      0.666721    -13.458000
      0.688242    -13.442200
      0.709762    -13.425000
      0.731283    -13.407200
      0.752803    -13.389700
      0.774324    -13.373400
      0.795844    -13.359300
      0.817365    -13.348200
      0.838885    -13.340700
      0.860406    -13.337400
      0.881926    -13.338400
      0.903447    -13.343500
      0.924967    -13.352600
      0.946488    -13.365100
      0.968008    -13.380100
      0.989529    -13.396900
      1.011049    -13.414400
      1.032570    -13.431800
      1.054090    -13.448100
      1.075611    -13.462700
      1.097131    -13.475000
      1.118652    -13.484500
      1.140172    -13.490900
      1.161693    -13.494000
      1.183213    -13.493700
      1.204734    -13.490100
      1.227560    -13.286100
      1.250386    -13.078400
      1.273212    -13.048700
      1.296038    -13.040800
      1.318864    -13.028700
      1.341690    -13.010000
      1.364516    -12.981100
      1.387341    -12.937600
      1.410167    -12.875700
      1.432993    -12.793300
      1.452558    -12.876300
      1.472123    -12.928400
      1.491689    -12.924500
      1.511254    -12.856800
      1.530819    -12.738900
      1.550384    -12.588100
      1.569949    -12.415900
      1.589514    -12.228600
      1.609079    -12.162900
      1.628644    -12.239100
      1.648209    -12.311200
      1.667774    -12.378100
      1.687339    -12.439200
      1.706905    -12.493800
      1.726470    -12.541800
      1.746035    -12.583300
      1.765600    -12.618900
      1.785165    -12.649800
      1.804730    -12.677600
      1.824295    -12.704300
      1.843860    -12.731900
      1.863425    -12.762400
      1.882990    -12.797500
      1.902555    -12.838200
      1.922121    -12.884800
      1.941686    -12.937000
      1.961251    -12.994000
      1.980816    -13.054900
      2.000381    -13.118500
      2.019946    -13.183500
      2.039511    -13.249000
      2.059076    -13.314000
      2.078641    -13.377600
      2.098206    -13.439200
      2.117771    -13.497800


      0.000000    -12.667000
      0.022365    -12.681100
      0.044730    -12.676300
      0.067094    -12.661500
      0.089459    -12.633600
      0.111824    -12.593200
      0.134189    -12.541300
      0.156553    -12.479600
      0.178918    -12.410500
      0.201283    -12.336700
      0.223648    -12.262500
      0.246012    -12.192700
      0.268377    -12.134200
      0.290742    -12.094600
      0.313107    -12.082000
      0.335471    -12.102900
      0.357836    -12.159900
      0.380201    -12.251000
      0.402566    -12.370600
      0.424930    -12.511400
      0.447295    -12.666500
      0.469660    -12.830300
      0.492025    -12.998300
      0.514389    -13.167200
      0.536754    -13.334400
      0.559119    -13.497800
      0.580639    -13.493100
      0.602160    -13.488000
      0.623680    -13.479700
      0.645201    -13.468300
      0.666721    -13.454400
      0.688242    -13.438500
      0.709762    -13.421200
      0.731283    -13.403300
      0.752803    -13.385700
      0.774324    -13.369400
      0.795844    -13.355300
      0.817365    -13.344300
      0.838885    -13.337000
      0.860406    -13.333800
      0.881926    -13.334900
      0.903447    -13.340200
      0.924967    -13.349500
      0.946488    -13.362100
      0.968008    -13.377300
      0.989529    -13.394200
      1.011049    -13.411800
      1.032570    -13.429300
      1.054090    -13.445800
      1.075611    -13.460500
      1.097131    -13.472800
