# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -4.9895
# k_min, k_max      =     0.0000    2.0578
# E_min, E_max      =   -17.0174  150.9532
# Nbands, Nspin, Nk =    104     1   101
#
#        k            E
# --------------------------------------------------------------------------
      0.347709     -8.936100
      0.369440     -8.887400
      0.391172     -8.805100
      0.412904     -8.698500
      0.434636     -8.577800
      0.456368     -8.453900
      0.478099     -8.338200
      0.499831     -8.243100
      0.521563     -8.180600
      0.543295     -8.183000
      0.564206     -8.197000
      0.585118     -8.238400
      0.606029     -8.302900
      0.626941     -8.384800
      0.647852     -8.477900
      0.668763     -8.576400
      0.689675     -8.675300
      0.710586     -8.770200
      0.731498     -8.857500
      0.752409     -8.934300
      0.773321     -8.998100
      0.794232     -9.047000
      0.815143     -9.079600
      0.836055     -9.094600
      0.856966     -9.091800
      0.877878     -9.071700
      0.898789     -9.034300
      0.919701     -8.981100
      0.940612     -8.913900
      0.961523     -8.834700
      0.982435     -8.745600
      1.003346     -8.649800
      1.024258     -8.550800
      1.045169     -8.453400
      1.066081     -8.362800
      1.086992     -8.284800
      1.107903     -8.225700
      1.128815     -8.190800
      1.149726     -8.183700
      1.170638     -8.204900
      1.192818     -8.215100
      1.214998     -8.285400
      1.237177     -8.435300
      1.259357     -8.614400
      1.281537     -8.804600
      1.303717     -8.991400
      1.325897     -9.164000
      1.348077     -9.314100
      1.370257     -9.436000
      1.392437     -9.525800
      1.411448     -9.522300
      1.430460     -9.494000
      1.449471     -9.443700
      1.468482     -9.374200
      1.487494     -9.288200
      1.506505     -9.187700
      1.525516     -9.074700
      1.544528     -8.951300
      1.563539     -9.006800
      1.582551     -9.067700
      1.601562     -9.124100
      1.620573     -9.175800
      1.639585     -9.222300
      1.658596     -9.263600
      1.677607     -9.299100
      1.696619     -9.328400
      1.715630     -9.350500
      1.734641     -9.416500
      1.753653     -9.368100
      1.772664     -9.360100
      1.791675     -9.338500
      1.810687     -9.301800
      1.829698     -9.249100
      1.848710     -9.180300
      1.867721     -9.095900
      1.886732     -8.997500
      1.905744     -8.887600
      1.924755     -8.769300
      1.943766     -8.646600
      1.962778     -8.524700
      1.981789     -8.409400
      2.000800     -8.307800
      2.019812     -8.227500
      2.038823     -8.187000
      2.057834     -8.183000


      0.000000     -6.622700
      0.021732     -6.606800
      0.043464     -6.630900
      0.065195     -6.759000
      0.086927     -6.944200
      0.108659     -7.164200
      0.130391     -7.402500
      0.152123     -7.647000
      0.173854     -7.888900
      0.195586     -8.121200
      0.217318     -8.337300
